Number,Arrival time,X1,X2,X3,,,,,
539,10:48,12,11,24,,,,,
540,10:49,7,13,20,,,,,
541,10:49,12,12,25,,,,,
542,10:50,9,12,21,,,,,
543,10:51,9,12,21,,,,,
544,10:51,10,12,22,,,,,
545,10:51,13,13,26,,,,,
546,10:52,7,13,21,,,,,
547,10:53,13,10,23,,,,,
548,10:53,9,13,22,,,,,
549,10:55,10,13,23,,,,,
550,10:57,13,12,25,,,,,
551,10:58,9,12,21,,,,,
552,10:59,10,13,24,,,,,
553,10:59,7,13,20,,,,,
554,10:59,12,12,24,,,,,
555,10:59,12,13,25,,,,,
556,10:59,11,12,23,,,,,
557,10:59,13,13,26,,,,,
558,11:01,7,13,20,,,,,
559,11:01,11,12,23,,,,,
560,11:01,11,11,23,,,,,
561,11:03,11,11,22,,,,,
562,11:03,10,13,23,,,,,
563,11:04,10,14,24,,,,,
564,11:05,11,10,21,,,,,
565,11:05,12,14,26,,,,,
566,11:05,11,13,24,,,,,
567,11:05,10,14,24,,,,,
568,11:05,13,11,24,,,,,
569,11:07,8,11,19,,,,,
570,11:07,11,11,22,,,,,
571,11:07,10,13,23,,,,,
572,11:07,8,11,19,,,,,
573,11:09,7,11,18,,,,,
574,11:10,8,14,22,,,,,
575,11:11,10,12,22,,,,,
576,11:11,13,13,26,,,,,
577,11:11,10,14,24,,,,,
578,11:11,13,13,26,,,,,
579,11:11,8,13,21,,,,,
580,11:13,10,12,22,,,,,
581,11:13,13,10,23,,,,,
582,11:13,12,12,24,,,,,
583,11:13,10,14,23,,,,,
584,11:14,10,14,23,,,,,
585,11:14,10,11,21,,,,,
586,11:14,10,13,22,,,,,
587,11:15,8,11,19,,,,,
588,11:15,11,11,22,,,,,
589,11:16,8,10,18,,,,,
590,11:16,10,12,22,,,,,
591,11:16,10,11,20,,,,,
592,11:17,9,11,21,,,,,
593,11:17,10,14,24,,,,,
594,11:17,9,13,22,,,,,
595,11:19,10,13,23,,,,,
596,11:19,12,12,24,,,,,
597,11:19,11,12,23,,,,,
598,11:19,7,11,19,,,,,
599,11:20,8,13,21,,,,,
600,11:20,10,12,22,,,,,
601,11:21,13,14,27,,,,,
602,11:21,9,11,20,,,,,
603,11:22,10,11,21,,,,,
604,11:23,8,10,18,,,,,
605,11:23,10,14,23,,,,,
606,11:23,13,14,26,,,,,
607,11:25,9,14,22,,,,,
608,11:25,8,14,22,,,,,
609,11:26,8,12,19,,,,,
610,11:26,9,13,22,,,,,
611,11:27,9,13,21,,,,,
612,11:27,10,10,21,,,,,
613,11:27,12,11,23,,,,,
614,11:29,11,12,23,,,,,
615,11:29,8,14,22,,,,,
616,11:32,12,14,26,,,,,
617,11:32,12,13,25,,,,,
618,11:33,12,12,24,,,,,
619,11:33,7,10,18,,,,,
620,11:33,10,12,22,,,,,
621,11:34,10,12,22,,,,,
622,11:34,8,10,18,,,,,
623,11:35,11,12,23,,,,,
624,11:35,10,11,21,,,,,
625,11:35,11,12,23,,,,,
626,11:35,8,11,18,,,,,
627,11:35,8,13,21,,,,,
628,11:36,12,14,26,,,,,
629,11:36,11,14,24,,,,,
630,11:37,8,12,20,,,,,
631,11:37,13,10,23,,,,,
632,11:37,13,13,26,,,,,
633,11:37,12,13,25,,,,,
